CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
CRISPS & SNACKS,TYRRELLS,ZX025,Rosemary and Wild Garlic,,12 X 150G,30.69,,3.39,,,,,S,
CANDLES,MOORLANDS DIPPED CANDLES,NF322,"Giant Stubby 8"" x 1.75""",22hr burn time,3 SINGLES,11.43,1,6.09,,,,,,
SUPPLEMENTS & REMEDIES,VEGA,VM104,Childrens Multivits & Minerals,Fruity Animal Shapes,1 X 30,2.26,1,4.09,,,G,,,
SUPPLEMENTS & REMEDIES,NATURES OWN,VM165,Vitamin C with Bioflavinoids,Low acidity,50 TABS,7.09,1,12.7,,,G,,,V
WATERS,HIGHLAND SPRING,WA040,Spring Water - sparkling,PET Bottles,8 X 1.5L,6.45,1,1.29,,,G,,,V
BODYCARE,WELEDA,DY499,Citrus Body Wash Banded Pack,renews @ invigorates,EACH,6.96,1,11.93,,,,,,V
SNACK BARS & FLAPJACKS,WHOLEBAKE,KB563,Chocolate,,20 X 80G,9.75,,0.65,,,,,S,
CHEESE; COWS MILK (CHILLED),OMA,CV447,Organic Cottage Cheese,,12 X 200G,17.91,,1.99,,,G,O,,
YOGURTS; COWS MILK (CHILLED),YEO VALLEY,CV261,Organic Greek Passionfruit Yog,,6 X 450G,8.35,,1.85,,,G,O,S,
BEANS & PULSES - DRIED,SUMA BAGGED DOWN - ORGANIC,PU197,Yellow Split Peas - organic,,3 KG,5.79,,,,,G,O,,V
SOFT DRINKS,FENTIMANS,JU346,Ginger Beer,,12 X 275ML,10.15,1,1.35,,,G,,S,V
CANDLES,MOORLANDS DIPPED CANDLES,NF597,Ivory Standard,,10 PAIRS,12.28,1,1.99,,,,,,
SOFT DRINKS,CAWSTON PRESS,JU230,Sparkling Apple & Ginger Beer,,12 X 330ML,12.68,1,1.69,,,G,,S,V
BEANS & PULSES - DRIED,SUMA PREPACKS,PU067,Chick Peas,,6 X 500G,6.31,,1.39,,,G,,,V
READY MEALS (FROZEN),CLIVE'S,XL027,Gluten Free Cheese/Potato Pie,,6 X 250G,12.72,,2.85,,,G,O,S,
PICKLES; CHUTNEYS & MUSTARDS,ATKINS & POTTS,KJ117,Beetroot Chutney,,6 X 215G,10.54,,2.35,,,G,,S,
SUPERFOODS & SPORTS NUTRITION,CREATIVE NATURE,MD063,Shelled Hemp Seeds,,12 X 150G,50.76,,5.65,,,G,O,,V
COCOA,COCOA LOCO,KB974,Dark&Mint Hot Chocolate Spoon,,24 X 30G,26.64,,1.49,,F,G,O,S,V
OLIVES,CRESPO,KJ264,Pitted Dry Black Olives/Herbs,,6 X 70G,3.88,,0.89,,,G,,,V
FAR EASTERN FOOD,CLEARSPRING,JP056,All Buckwheat Soba Noodles,Contains Salt Wheat Free - Org,6 X 200G,17.96,,3.99,,,,O,,V
SUPPLEMENTS & REMEDIES,DE VALLE,MD088,Plain Fleece Wheatbag Mix Pack,Purple/Lavender/Cerise Pink,6 X 1,12.96,1,3.99,,,,,,
HERB & FRUIT INFUSIONS,DR STUARTS,TE770,Echinacea Plus,,6 X 15 BAGS,9.86,,2.19,,,G,,,V
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ509,Washing Up Liquid - Vegan,lemon/aloe vera,12 X 500ML,10.08,1,1.35,,,,,,V
SOFT DRINKS,EQUINOX,JU249,Kombucha Wild Berry,,20 X 275ML,21.13,1,1.69,,,G,O,S,V
BABY & CHILD FOOD,ORGANIX,BB289,Goodies Squeezy Strawb/Apple,,3 X 4 X 90G,8.3,,3.69,,,,O,,V
HERB & FRUIT INFUSIONS,EQUAL EXCHANGE,TE013,Rooibos masala,,6 X 25BAGS,11.67,,2.59,,F,G,O,,V
BODYCARE,FAITH,DY410,Hemp & Meadowfoam Conditioner,normal & damaged hair,6 X 400ML,18.73,1,5.35,,,,,,V
PICKLES; CHUTNEYS & MUSTARDS,FOSTERS,KJ156,Warming Winter Chutney,,12 X 340G,28.82,,3.25,,,,,S,V
HONEY,FRUIT TREE,GH083,Acacia/Almond Raw Nut Honey,,12 X 230G,53.83,,5.99,,,,,,
DESSERTS,REALLY NOT DAIRY,SY114,Plain Soya Dessert,,12 X 125G,3.67,,0.42,,,G,,,V
